force,rate
0.938616702,4.618117229
1.360979572,5.654202051
1.710706241,6.210512487
2.068883638,7.346085384
2.420427883,9.129053212
2.805935083,4.570142905
3.145574964,7.84432041
3.534282058,8.986278644
4.002710957,11.96475001
4.532965672,12.12545179
5.496680212,18.49020375
6.841103485,19.98693162
9.417320459,32.17427239
-0.952870388,1.136735963
-1.420047103,2.168192195
-1.797873318,1.611776715
-2.103549403,2.112789835
-2.355377661,1.404096106
-2.646271738,1.083264833
-2.88640065,1.230409944
-3.140872684,1.345582532
-3.38892299,1.252978896
-3.650690063,1.350660632
-3.920651633,1.061842985
-4.227394221,1.893854998
-4.683608927,1.512818916
-5.439921049,1.427415901
-6.520870098,1.664170411
-8.816481207,2.764300489
